No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,,,,Time 2,Time 1,Delay,Delay 2,Delay 1,Jitter
2796,35.550871,192.168.43.163,3.0.60.84,TCP,54,"51084  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",,,,,,,,,,,,,,,,,,35.550882,35.550871,1.1E-05,0.848474,-0.848463,1.696937
2797,35.550882,192.168.43.163,3.0.60.84,TCP,54,"51084  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",,,,,,,,,,,,,,,,,,36.399356,35.550882,0.848474,9E-06,0.848465,-0.848456
2812,36.399356,192.168.43.163,74.125.130.94,TCP,55,51089  >  443 [ACK] Seq=1 Ack=1 Win=16174 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,36.399365,36.399356,9E-06,0.036207,-0.036198,0.072405
2813,36.399365,192.168.43.163,74.125.130.94,TCP,55,[TCP Keep-Alive] 51089  >  443 [ACK] Seq=1 Ack=1 Win=16174 Len=1,,,,,,,,,,,,,,,,,,36.435572,36.399365,0.036207,1.745853,-1.709646,3.455499
2814,36.435572,74.125.130.94,192.168.43.163,TCP,54,443  >  51089 [ACK] Seq=1 Ack=2 Win=732 Len=0,,,,,,,,,,,,,,,,,,38.181425,36.435572,1.745853,9E-06,1.745844,-1.745835
2821,38.181425,192.168.43.163,74.125.200.95,TCP,55,51090  >  443 [ACK] Seq=1 Ack=1 Win=16422 Len=1 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,38.181434,38.181425,9E-06,0.024297,-0.024288,0.048585
2822,38.181434,192.168.43.163,74.125.200.95,TCP,55,[TCP Keep-Alive] 51090  >  443 [ACK] Seq=1 Ack=1 Win=16422 Len=1,,,,,,,,,,,,,,,,,,38.205731,38.181434,0.024297,3.385782,-3.361485,6.747267
2823,38.205731,74.125.200.95,192.168.43.163,TCP,54,443  >  51090 [ACK] Seq=1 Ack=2 Win=731 Len=0,,,,,,,,,,,,,,,,,,41.591513,38.205731,3.385782,1E-05,3.385772,-3.385762
2833,41.591513,192.168.43.163,74.125.68.188,TCP,55,51091  >  5228 [ACK] Seq=1 Ack=1 Win=16450 Len=1,,,,,,,,,,,,,,,,,,41.591523,41.591513,1E-05,0.04281,-0.0428,0.08561
2834,41.591523,192.168.43.163,74.125.68.188,TCP,55,[TCP Keep-Alive] 51091  >  5228 [ACK] Seq=1 Ack=1 Win=16450 Len=1,,,,,,,,,,,,,,,,,,41.634333,41.591523,0.04281,5.528462,-5.485652,11.014114
